pattern,impl,repeat,orders,elapsed_ns,ops_per_sec,checksum
homogeneous,virtual,0,500000,3687041,1.3561e+08,15831533468468441464
homogeneous,nonvirtual,0,500000,2092667,2.3893e+08,15831533468468441464
homogeneous,virtual,1,500000,2572458,1.94367e+08,15831533468468441464
homogeneous,nonvirtual,1,500000,1477708,3.38362e+08,15831533468468441464
homogeneous,virtual,2,500000,2547375,1.9628e+08,15831533468468441464
homogeneous,nonvirtual,2,500000,1503208,3.32622e+08,15831533468468441464
homogeneous,virtual,3,500000,2553334,1.95822e+08,15831533468468441464
homogeneous,nonvirtual,3,500000,1475250,3.38926e+08,15831533468468441464
homogeneous,virtual,4,500000,2520417,1.9838e+08,15831533468468441464
homogeneous,nonvirtual,4,500000,1471333,3.39828e+08,15831533468468441464
homogeneous,virtual,5,500000,2512625,1.98995e+08,15831533468468441464
homogeneous,nonvirtual,5,500000,1461000,3.42231e+08,15831533468468441464
homogeneous,virtual,6,500000,2520625,1.98364e+08,15831533468468441464
homogeneous,nonvirtual,6,500000,1454292,3.4381e+08,15831533468468441464
homogeneous,virtual,7,500000,2537541,1.97041e+08,15831533468468441464
homogeneous,nonvirtual,7,500000,1449500,3.44947e+08,15831533468468441464
homogeneous,virtual,8,500000,2533167,1.97381e+08,15831533468468441464
homogeneous,nonvirtual,8,500000,1461250,3.42173e+08,15831533468468441464
homogeneous,virtual,9,500000,2522708,1.982e+08,15831533468468441464
homogeneous,nonvirtual,9,500000,1455625,3.43495e+08,15831533468468441464
mixed,virtual,0,500000,5465583,9.14815e+07,9453939304764638188
mixed,nonvirtual,0,500000,2860084,1.7482e+08,9453939304764638188
mixed,virtual,1,500000,5398875,9.26119e+07,9453939304764638188
mixed,nonvirtual,1,500000,2842583,1.75896e+08,9453939304764638188
mixed,virtual,2,500000,5386625,9.28225e+07,9453939304764638188
mixed,nonvirtual,2,500000,2834667,1.76388e+08,9453939304764638188
mixed,virtual,3,500000,5419000,9.22679e+07,9453939304764638188
mixed,nonvirtual,3,500000,2844375,1.75786e+08,9453939304764638188
mixed,virtual,4,500000,5437459,9.19547e+07,9453939304764638188
mixed,nonvirtual,4,500000,2860917,1.74769e+08,9453939304764638188
mixed,virtual,5,500000,5483500,9.11826e+07,9453939304764638188
mixed,nonvirtual,5,500000,2874708,1.73931e+08,9453939304764638188
mixed,virtual,6,500000,5477791,9.12777e+07,9453939304764638188
mixed,nonvirtual,6,500000,2927250,1.70809e+08,9453939304764638188
mixed,virtual,7,500000,5405750,9.24941e+07,9453939304764638188
mixed,nonvirtual,7,500000,2878584,1.73697e+08,9453939304764638188
mixed,virtual,8,500000,5478208,9.12707e+07,9453939304764638188
mixed,nonvirtual,8,500000,2854917,1.75136e+08,9453939304764638188
mixed,virtual,9,500000,5427084,9.21305e+07,9453939304764638188
mixed,nonvirtual,9,500000,2773541,1.80275e+08,9453939304764638188
bursty,virtual,0,500000,2711583,1.84394e+08,12011859553700404457
bursty,nonvirtual,0,500000,1438166,3.47665e+08,12011859553700404457
bursty,virtual,1,500000,2625375,1.90449e+08,12011859553700404457
bursty,nonvirtual,1,500000,1434917,3.48452e+08,12011859553700404457
bursty,virtual,2,500000,2648125,1.88813e+08,12011859553700404457
bursty,nonvirtual,2,500000,1461791,3.42046e+08,12011859553700404457
bursty,virtual,3,500000,2671125,1.87187e+08,12011859553700404457
bursty,nonvirtual,3,500000,1452958,3.44126e+08,12011859553700404457
bursty,virtual,4,500000,2628792,1.90201e+08,12011859553700404457
bursty,nonvirtual,4,500000,1435459,3.48321e+08,12011859553700404457
bursty,virtual,5,500000,2637125,1.896e+08,12011859553700404457
bursty,nonvirtual,5,500000,1479792,3.37885e+08,12011859553700404457
bursty,virtual,6,500000,2612375,1.91397e+08,12011859553700404457
bursty,nonvirtual,6,500000,1450583,3.44689e+08,12011859553700404457
bursty,virtual,7,500000,2608959,1.91647e+08,12011859553700404457
bursty,nonvirtual,7,500000,1438500,3.47584e+08,12011859553700404457
bursty,virtual,8,500000,2622875,1.90631e+08,12011859553700404457
bursty,nonvirtual,8,500000,1436875,3.47977e+08,12011859553700404457
bursty,virtual,9,500000,2610375,1.91543e+08,12011859553700404457
bursty,nonvirtual,9,500000,1441084,3.46961e+08,12011859553700404457
